id,category,claim,source url
42,Malware and Device Security,"My PC doesn't run Windows, so it is quite safe",https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
43,Malware and Device Security,Malware is written by antivirus vendors,https://link.springer.com/chapter/10.1007/978-3-030-04531-9_7
44,Crypto & Blockchain,Blockchain is a magical database in the cloud.,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
45,Crypto & Blockchain,Blockchain is free,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
46,Crypto & Blockchain,There is only one blockchain,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
47,Crypto & Blockchain,"Blockchain can be used for anything and everything, or blockchains can be used everywhere",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
48,Crypto & Blockchain,"The blockchain ledger is locked and unchangeable/ unable to modify the data block once created, or blockchain data cannot be changed once updated",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
49,Crypto & Blockchain,"Blockchain records can never be hacked or changed/blockchain technology is 100% trustworthy, or blockchains are truth machines",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
50,Crypto & Blockchain,Blockchain is bitcoin and bitcoin is blockchain,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
51,Crypto & Blockchain,Blockchain is developed for big companies/ commercial communications only,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
52,Crypto & Blockchain,Smart contracts have a similar legal value to regular contracts,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
53,Crypto & Blockchain,Blockchain can store documents,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
54,Crypto & Blockchain,Blockchains are intended only to aid money management,https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
55,Crypto & Blockchain,"Blockchains consume high volumes of energy, increasing costs",https://www.taylorfrancis.com/chapters/edit/10.1201/9781003138082-10/blockchain-technology-ashish-sharma-durgesh-sharma-neha-purohit-sangita-sharma-atiya-khan
57,Crypto & Blockchain,Every transaction on blockchain is anonymous,https://www.hexacta.com/facts-about-blockchain-myths-vs-reality/
58,Crypto & Blockchain,All blockchains are public,https://www.hexacta.com/facts-about-blockchain-myths-vs-reality/
59,Crypto & Blockchain,The transaction fee of bitcoins is determined by the bitcoin wallet provider.,https://dl.acm.org/doi/abs/10.1145/3411764.3445407
60,Crypto & Blockchain,The bitcoin transaction is reversible and can be canceled anytime.,https://dl.acm.org/doi/abs/10.1145/3411764.3445407
61,Crypto & Blockchain,"Blockchain technology is a finance, financial reporting, or otherwise accounting oriented tool",http://www.uhu.es/ijdar/10.4192/1577-8517-v19_3.pdf
62,Crypto & Blockchain,Blockchain eliminates the problem of trust entirely.,https://ieeexplore.ieee.org/abstract/document/9820452
63,Crypto & Blockchain,Any participant (anywhere in the world) can validate any blockchain transaction on a public blockchain.,https://ieeexplore.ieee.org/abstract/document/9820452
64,Crypto & Blockchain,"The blockchain ecosystems are necessarily free of any intermediation (brokers, curators).",https://ieeexplore.ieee.org/abstract/document/9820452
65,Crypto & Blockchain,Adoption of cryptocurrencies in place of fiat currencies would eliminate hyperinflation plaguing countries like Venezuela.,https://dl.acm.org/doi/10.1145/3299869.3314116
66,Crypto & Blockchain,Public blockchains are completely decentralized.,https://dl.acm.org/doi/10.1145/3299869.3314116
67,Crypto & Blockchain,Public blockchains are more secure than private blockchains.,https://dl.acm.org/doi/10.1145/3299869.3314116
68,Crypto & Blockchain,Off-chain sensitive data storage in a traditional database system is better than on-chain storage of data in the blockchain system.,https://dl.acm.org/doi/10.1145/3299869.3314116
69,Crypto & Blockchain,"Technologists creating ""money"" with algorithms and energy wastage is better than printing of fiat currencies in a governmental system with checks and balances.",https://dl.acm.org/doi/10.1145/3299869.3314116
71,Malware and Device Security,"Even if my laptop is stolen, my data is secure because my user account is protected by a password.",https://arxiv.org/abs/2212.10382
72,Web Security and Privacy,"As long as a website looks official, I can enter my login data without concern.",https://arxiv.org/abs/2212.10382
73,Web Security and Privacy,I can identify a fraudulent website according to the lock symbol in the address bar of the internet browser,https://arxiv.org/abs/2212.10382
74,Malware and Device Security,It is important for the security of my user accounts to regularly change the password.,https://arxiv.org/abs/2212.10382
75,Malware and Device Security,A date of birth is a secure password as long as it isn't my own date of birth.,https://arxiv.org/abs/2212.10382
76,Web Security and Privacy,There is high reliability that something encrypted is going to remain untampered. It increases that reliability and the assurance that something that has not been altered or stolen or read or whatever.,https://digitalcommons.kennesaw.edu/jcerp/vol2018/iss1/5/
77,Web Security and Privacy,Text messages and emails are more secure than instant messages.,https://arxiv.org/abs/2212.10382
78,Web Security and Privacy,"Even if messages are end-to-end encrypted, they can also be read by third parties during transmission.",https://arxiv.org/abs/2212.10382
79,Web Security and Privacy,"When I use a public Wi-Fi, other devices that are also using this Wi-Fi can generally see what data (e. g., passwords, credit card information) I enter on websites.",https://arxiv.org/abs/2212.10382
80,Privacy and Anonymity Tools,"Private browsing would prevent hacking, as it would make the device hard to find by hackers.",https://arxiv.org/abs/2212.10382
81,Privacy and Anonymity Tools,"Private browsing mode would prevent advertisements, viruses, and tracking by both the websites visited and the network provider",https://arxiv.org/abs/2212.10382
82,Privacy and Anonymity Tools,Private browsing prevents search engines from knowing my searches.,https://duckduckgo.com/download/Private_Browsing.pdf
83,Privacy and Anonymity Tools,"Websites cannot view IP addresses in private mode, thereby preventing geolocation",https://dl.acm.org/doi/abs/10.1145/3178876.3186088
84,Privacy and Anonymity Tools,"Even while a user was logged into a Google account, their search queries would not be saved while in private mode because private mode does not save search histories.",https://dl.acm.org/doi/abs/10.1145/3178876.3186088
85,Privacy and Anonymity Tools,"Bookmarks saved in private mode would not persist in later sessions because private mode deletes all local, temporary data, including bookmarks.",https://dl.acm.org/doi/abs/10.1145/3178876.3186088
86,Privacy and Anonymity Tools,Government would need a warrant to access browsing activity from private mode.,https://dl.acm.org/doi/abs/10.1145/3178876.3186088
87,Privacy and Anonymity Tools,Employers would be unable to track employees when they used private mode.,https://dl.acm.org/doi/abs/10.1145/3178876.3186088
88,Privacy and Anonymity Tools,The government would be unable to track us when we used private mode.,https://dl.acm.org/doi/abs/10.1145/3178876.3186088
89,Privacy and Anonymity Tools,"With respect to preventing online stores from misusing one's credit card information, private browsing would be very effective because it allows the user to be undercover and out of reach of basic credit card hackers at online stores",https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
90,Privacy and Anonymity Tools,A VPN protects me from entering my passwords or credit card information on dangerous websites,https://arxiv.org/abs/2212.10382
91,Privacy and Anonymity Tools,VPNs would be not at all effective at preventing observation by the ISP.,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
92,Privacy and Anonymity Tools,VPNs would prevent hackers from gaining access to their device.,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
93,Privacy and Anonymity Tools,VPNs would be very effective at preventing friends or family from seeing the websites in my browser history from my computer because I have my own private network that others cannot get into.,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
94,Web Security and Privacy,Websites that use HTTPS are trustworthy,https://arxiv.org/abs/2212.10382
95,Privacy and Anonymity Tools,"Tor Browser would be not at all effective at preventing observation by the government because if the government wants to see what you are doing, they will see it no matter what.",https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
96,Privacy and Anonymity Tools,Ad blockers would be somewhat effective at preventing the websites they visit from seeing their physical location,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
97,Privacy and Anonymity Tools,Tor Browser would be very effective at preventing hackers from gaining access to their device because the onion router is so deep and layered with basic protection it can't be used to maliciously hack,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
98,Web Security and Privacy,Websites can only determine their location if websites access it through the location API,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
99,Privacy and Anonymity Tools,"Tor browser is most safe only when with a VPN and have it configured to use a proxy, since your data still goes through your ISP",https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
100,Web Security and Privacy,If I visit websites that use HTTPS then other people that use my computer cannot see where I have been on the Internet,https://arxiv.org/abs/2212.10382
101,Privacy and Anonymity Tools,"Tor browser is for the dark web and file sharing, it is the very definition of a dark web browser.",https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
102,Web Security and Privacy,Antivirus software would prevent law enforcement from seeing the websites I visited,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
103,Web Security and Privacy,Antivirus software would prevent websites from misusing their card information,https://www.researchgate.net/publication/351159071_Awareness_Adoption_and_Misconceptions_of_Web_Privacy_Tools
104,Privacy and Anonymity Tools,Tor is especially designed for criminals who want to make illegal business securely.,https://dl.acm.org/doi/pdf/10.1145/3022211.3022221
105,Privacy and Anonymity Tools,Tor has a backdoor heavily used by US law enforcement services.,https://dl.acm.org/doi/pdf/10.1145/3022211.3022221
106,Privacy and Anonymity Tools,Tor anonimize users completely,https://dl.acm.org/doi/pdf/10.1145/3022211.3022221
107,Privacy and Anonymity Tools,VPNs completely prevent data collection for commercial purposes,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833633
108,Privacy and Anonymity Tools,VPNs would protect against serverside threat,https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9833633
110,Malware and Device Security,"Reusing passwords is OK for secure passwords, but should be avoided for weak passwords",https://dl.acm.org/doi/10.1145/3167996.3167998
111,Malware and Device Security,The inclusion of symbols makes passwords automatically more secure.,https://dl.acm.org/doi/10.1145/3167996.3167998
112,Privacy and Anonymity Tools,Private browsing benefits system security by blocking ads online.,https://dl.acm.org/doi/pdf/10.1145/2665943.2665953
113,Web Security and Privacy,HTTPS protocol could protect against phishing,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8835228
114,Web Security and Privacy,HTTPS prevents people from seeing what their partner did on the Internet or the employer from seeing whether employees were not working when they should have been.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8835228
115,Web Security and Privacy,"The lock symbol puts security in people's mind with the purpose to build up trust, this does not mean anything about the security of the websites or connection.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8835228
116,Web Security and Privacy,"HTTPS is a bad protocol, if HTTPS were secure, I wouldn't need two-factor authentication.",https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8835228
117,IoT/CPS,An IoT device that receives security patches must not be secure.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519463
118,Malware and Device Security,Synchronizing passwords in a password manager increases their exposure to breaches,https://www.usenix.org/system/files/sec21-ray.pdf
119,Malware and Device Security,"Password attackers do not automate their attacks, but perform them by hand",https://dl.acm.org/doi/pdf/10.1145/3167996.3167998
120,Malware and Device Security,Work accounts have lower security requirements because the IT staff is responsible for security,https://dl.acm.org/doi/pdf/10.1145/3167996.3167998
121,Malware and Device Security,Common substitutions (e.g. a @) make passwords more secure,https://dl.acm.org/doi/pdf/10.1145/3167996.3167998
122,Malware and Device Security,Answering a message from a stranger can trigger a computer virus,https://dl.acm.org/doi/pdf/10.1145/3428029.3428033
123,IoT/CPS,"In smart homes, only devices I actively interact with are able to collect data about me (e.g., the doorbell)",https://dl.acm.org/doi/pdf/10.1145/3490632.3490664
124,IoT/CPS,"In IoT Devices, for collected data to be linked to me, I must have an account registered on the device",https://dl.acm.org/doi/pdf/10.1145/3490632.3490664
125,IoT/CPS,Most Iot Devices process their data locally and not the cloud,https://www.uni-goettingen.de/de/document/download/6f70dd46f1e0645a35502c66fcc64733.pdf/hernandez_acosta_pmc_2022_preprint.pdf
126,IoT/CPS,Most IoT Devices do not store their data,https://www.uni-goettingen.de/de/document/download/6f70dd46f1e0645a35502c66fcc64733.pdf/hernandez_acosta_pmc_2022_preprint.pdf
127,IoT/CPS,Receiving no security updates for IoT devices implies maximum security protection since there is no need for updates.,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9519463
128,Web Security and Privacy,Biometrics authentication is a panacea for improving security of any system,https://digitalcommons.kennesaw.edu/cgi/viewcontent.cgi?article=1030&context=jcerp
129,Web Security and Privacy,The inconvenience of Two Factor Authentication outweighs its security benefits.,https://www.proquest.com/docview/2306549386?pq-origsite=gscholar&fromopenview=true
130,Web Security and Privacy,Cookies can be used to transmit viruses,https://dl.acm.org/doi/pdf/10.1145/1125451.1125615
131,IoT/CPS,"Smart locks pose a security risk if because if I have my phone and am close to my door inside my home, my door will unlock",https://dl.acm.org/doi/pdf/10.1145/3544548.3581007
132,IoT/CPS,All IoT Devices store all their data in remote servers in a specific loaction,https://dl.acm.org/doi/pdf/10.1145/3544548.3581007
133,Web Security and Privacy,Biometrics in FIDO2 Biometric WebAuthn is stored on the server or in a remote database operated by the website,https://www.usenix.org/system/files/sec21-lassak.pdf
